epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,54731.5,1.27888,0.5731,0.97836,0.98137,0.99183,0.99095,0.60023,1.04566,0.40256,0.78467,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,56212.9,1.25635,0.56113,0.97422,0.98262,0.9916,0.99109,0.60326,1.02988,0.40655,0.77917,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,56981.9,1.25804,0.56015,0.97548,0.98133,0.99098,0.99098,0.60983,1.01339,0.39975,0.77482,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,58120.5,1.23662,0.55296,0.96511,0.98254,0.99226,0.99066,0.61311,1.01398,0.40012,0.77541,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,59157.4,1.24008,0.55426,0.97024,0.98081,0.99281,0.99028,0.612,1.01012,0.41696,0.77608,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,59774.5,1.22733,0.54488,0.96601,0.98528,0.99147,0.99141,0.61977,1.00032,0.39192,0.77245,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,60705.3,1.21923,0.5473,0.95993,0.98302,0.99126,0.98948,0.61796,0.99713,0.41671,0.76971,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,61724.7,1.20139,0.54084,0.96057,0.98302,0.99143,0.99174,0.6218,0.99434,0.40843,0.7707,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,62835.5,1.18927,0.53385,0.95432,0.98107,0.9935,0.9919,0.6239,0.99028,0.41538,0.7699,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,63582.3,1.18442,0.52867,0.95173,0.98289,0.99162,0.99167,0.62646,0.98384,0.38113,0.76876,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,64587.1,1.17337,0.52655,0.95369,0.98406,0.9905,0.99224,0.62652,0.98003,0.38869,0.76807,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,65904,1.1577,0.52181,0.94369,0.98303,0.99192,0.99245,0.62975,0.97458,0.37987,0.76533,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,66954.6,1.15153,0.52012,0.94375,0.98138,0.99264,0.99143,0.63118,0.96794,0.37539,0.76395,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,67560.1,1.1433,0.51674,0.94149,0.98179,0.99375,0.99205,0.63542,0.96239,0.37204,0.76159,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,68575.9,1.12048,0.50535,0.93648,0.98255,0.99292,0.99193,0.63968,0.95272,0.38197,0.76087,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,69527.5,1.11322,0.50163,0.93535,0.98259,0.99233,0.99146,0.64011,0.94725,0.37537,0.75959,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,70877.8,1.11012,0.50516,0.93498,0.98208,0.99042,0.99178,0.64189,0.9443,0.37598,0.75832,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,72170.6,1.10093,0.50073,0.93241,0.98207,0.99219,0.99183,0.64417,0.93924,0.3854,0.75652,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,73776.5,1.09589,0.4996,0.93092,0.98223,0.99269,0.99196,0.64466,0.9318,0.37336,0.7554,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,74849.6,1.07802,0.49004,0.92381,0.98167,0.99284,0.99213,0.6472,0.93236,0.37602,0.75493,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,76048.2,1.07167,0.48841,0.92203,0.98207,0.99266,0.99182,0.64786,0.93074,0.36817,0.75421,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,77354.1,1.06003,0.48571,0.92102,0.98222,0.9927,0.9919,0.6515,0.92224,0.37487,0.75223,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,78430.7,1.03986,0.4793,0.91779,0.98186,0.99176,0.99195,0.65169,0.91703,0.38352,0.75214,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,79361.5,1.03884,0.47745,0.91805,0.98184,0.99244,0.99207,0.65383,0.91183,0.38127,0.75162,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,80063,1.02011,0.47018,0.91326,0.98312,0.99105,0.99192,0.65706,0.90423,0.37735,0.75018,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,80941.5,1.02069,0.46776,0.91138,0.98226,0.99211,0.99195,0.65823,0.89845,0.37293,0.74876,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,81998.3,0.9979,0.46136,0.90829,0.98226,0.99106,0.99203,0.65906,0.89509,0.38219,0.74789,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,83064.1,0.9942,0.45824,0.90601,0.98088,0.99178,0.99262,0.66371,0.8885,0.37625,0.74608,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,84011.3,0.98677,0.4554,0.90671,0.98199,0.99153,0.993,0.66552,0.88358,0.36542,0.74472,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,85871.4,0.97234,0.45096,0.90199,0.98259,0.99102,0.993,0.66905,0.87908,0.36017,0.744,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,86999.1,0.96505,0.44905,0.90173,0.98244,0.99107,0.99266,0.66752,0.87599,0.36249,0.74309,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,88272.3,0.9525,0.44703,0.90055,0.98169,0.9917,0.99258,0.66979,0.87301,0.35282,0.74213,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,89434.6,0.94211,0.44272,0.89259,0.98288,0.99221,0.99245,0.67278,0.86855,0.35004,0.74167,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,90451.3,0.93656,0.43954,0.89267,0.98646,0.98845,0.99212,0.67183,0.86526,0.34956,0.74099,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,91634.7,0.92856,0.43541,0.89272,0.98345,0.99202,0.99125,0.67607,0.86111,0.34889,0.74045,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,93060.7,0.91016,0.4296,0.88544,0.9834,0.99202,0.99128,0.6743,0.85733,0.34943,0.73997,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
